x_0,x_1
50.1976,36.2814
50.1976,63.8361
59.7329,60.4266
59.7329,57.224
59.7329,56.8938
59.7329,58.8107
59.7329,52.3406
1.08497,3.15515
1.08497,3.88711
1.08497,0.76615
1.08497,3.30739
27.2796,28.9323
27.2796,16.7008
27.2796,22.8702
27.2796,25.1855
27.2796,30.3003
27.2796,31.8361
27.2796,38.2936
27.2796,20.679
82.4213,70.9985
82.4213,97.961
18.5595,9.93585
18.5595,9.35709
18.5595,10.0326
18.5595,4.67995
38.2936,31.8361
38.2936,30.3003
38.2936,25.1855
38.2936,22.8702
38.2936,28.9323
38.2936,25.2707
27.9689,23.8242
27.9689,33.5889
27.9689,20.679
27.9689,41.401
29.9898,23.4409
29.9898,40.8158
29.9898,26.9839
29.9898,31.1238
29.9898,42.543
29.9898,32.9278
29.9898,36.2814
29.9898,40.6254
29.9898,38.9692
25.1855,30.3003
25.1855,31.8361
25.1855,25.2707
25.1855,21.2412
25.1855,28.9323
25.1855,16.7008
97.961,84.1804
49.4851,65.717
3.88711,3.30739
3.88711,3.15515
3.88711,11.2863
3.88711,0.76615
3.30739,11.2863
3.30739,3.15515
96.4156,96.7651
41.401,33.5889
41.401,49.0287
41.401,41.7885
63.8361,49.1602
26.9839,36.2814
26.9839,23.4409
26.9839,40.8158
26.9839,42.543
26.9839,19.5288
56.8938,60.4266
56.8938,57.224
56.8938,58.8107
8.42084,12.3338
8.42084,4.67995
8.42084,10.0326
8.42084,12.2958
8.42084,9.35709
19.6295,9.93585
19.6295,9.35709
19.6295,10.0326
19.6295,4.67995
60.0459,64.3852
60.0459,66.2131
60.0459,49.0287
60.0459,41.7885
20.679,23.8242
20.679,8.57597
20.679,7.14484
20.679,6.72896
20.679,16.7008
22.8702,30.3003
22.8702,31.8361
22.8702,25.2707
22.8702,21.2412
22.8702,16.7008
22.8702,28.9323
33.5889,23.8242
8.57597,7.14484
8.57597,4.01343
8.57597,2.97935
8.57597,16.7008
4.01343,7.14484
4.01343,6.72896
4.01343,16.7008
38.9692,32.9278
38.9692,31.1238
38.9692,42.543
38.9692,40.8158
