z_0,z_1
26.5313,27.7492
26.5313,27.8827
26.5313,32.8029
26.5313,19.6287
26.5313,15.7446
26.5313,21.184
56.294,51.1072
56.294,55.9588
56.294,55.2245
56.294,55.9121
56.294,49.4672
56.294,47.2658
56.294,45.2444
56.294,61.8548
87.2306,86.7322
87.2306,81.3608
87.2306,74.8614
87.2306,82.6968
87.2306,69.2776
24.2866,22.6616
24.2866,15.8126
24.2866,21.184
24.2866,13.0596
24.2866,15.7446
24.2866,19.6287
24.2866,27.7492
24.2866,27.8827
51.1072,49.4672
51.1072,55.2245
51.1072,55.9588
51.1072,55.9121
51.1072,47.2658
51.1072,45.2444
81.3608,86.7322
81.3608,69.2776
45.2444,47.2658
45.2444,49.4672
45.2444,55.9121
45.2444,55.9588
45.2444,55.2245
45.2444,47.0179
45.2444,61.8548
45.2444,40.4818
67.6563,59.5111
67.6563,61.2651
67.6563,74.0501
67.6563,76.0878
67.6563,76.7385
67.6563,74.8614
67.6563,77.4667
13.2128,16.9943
13.2128,19.873
13.2128,6.3017
13.2128,12.8136
13.2128,24.5986
95.2898,92.0965
95.2898,91.3752
95.2898,89.3295
95.2898,91.0079
59.6586,62.1242
59.6586,61.8548
59.6586,75.0283
59.6586,76.0559
59.6586,78.3017
59.6586,78.4856
59.6586,76.003
59.6586,47.0179
59.6069,49.5312
59.6069,61.1756
27.7492,32.8029
27.7492,19.6287
27.7492,15.7446
27.7492,21.184
76.003,78.4856
76.003,78.3017
76.003,76.0559
76.003,75.0283
76.003,62.1242
76.003,83.9036
39.7902,40.4818
39.7902,35.0564
39.7902,47.0179
39.7902,30.112
60.5816,56.3582
60.5816,65.2569
60.5816,69.2776
60.5816,68.6507
60.5816,69.3587
60.5816,69.6481
60.5816,74.8614
60.5816,45.4733
60.5816,69.7095
76.0559,78.3017
76.0559,78.4856
76.0559,83.9036
76.0559,84.3407
76.0559,62.1242
76.0559,61.8548
61.1756,60.493
0.5351,1.75277
91.3752,91.0079
91.3752,92.0965
91.3752,97.459
91.3752,89.3295
91.0079,97.459
91.0079,92.0965
15.3705,12.1549
30.112,35.0564
30.112,24.0582
30.112,22.004
77.4667,73.5804
69.2776,74.8614
69.2776,56.3582
69.2776,65.2569
69.2776,69.3587
69.2776,82.6968
6.3017,16.9943
6.3017,19.873
6.3017,12.8136
15.8126,13.0596
15.8126,21.184
15.8126,15.7446
15.8126,22.6616
15.8126,19.6287
27.8827,32.8029
27.8827,19.6287
27.8827,15.7446
27.8827,21.184
18.4095,21.0827
18.4095,20.3041
18.4095,24.0582
18.4095,22.004
47.0179,40.4818
47.0179,47.2658
47.0179,55.9121
47.0179,49.4672
47.0179,61.8548
75.0283,78.3017
75.0283,78.4856
75.0283,83.9036
75.0283,84.3407
75.0283,61.8548
75.0283,62.1242
35.0564,40.4818
